text,label,strategi
Saya merasa kurang nyaman saat diarahkan terlalu banyak.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya lebih suka memimpin daripada mengikuti.,Choleric,Pastikan berikan kesempatan untuk memimpin dan mengambil tanggung jawab.
Saya merasa puas jika berhasil menyelesaikan tugas sulit.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas. secara konsisten.
Saya suka menetapkan standar tinggi untuk diri saya sendiri.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya merasa nyaman dengan rutinitas yang konsisten dan terstruktur.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya terbiasa menyimpan catatan untuk semua aktivitas penting.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya merasa gelisah jika tidak tahu detail suatu rencana.,Melancholic,Berikan informasi yang terstruktur dan detail.
Saya lebih suka bekerja dalam kesunyian dan konsentrasi penuh.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya cenderung memperhatikan hal-hal kecil yang dianggap orang lain sepele.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya merasa lebih baik jika semuanya terorganisir.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak.
Saya suka membuat sistem kerja yang rapi dan efisien.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya merasa khawatir jika hasil kerja belum sempurna.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya sering meninjau ulang pekerjaan saya sebelum diserahkan.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya tidak suka tergesa-gesa dalam menyelesaikan tugas.,Melancholic,Hindari tergesa-gesa dalam menyelesaikan tugas. secara konsisten.
Saya merasa lebih aman dengan perencanaan matang.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya sering menghindari konfrontasi langsung.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya terbiasa merefleksikan pengalaman pribadi.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya cenderung menghindari spotlight dalam kerja tim.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya lebih suka menganalisis situasi sebelum bertindak.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya merasa lebih baik jika bekerja sesuai prosedur.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya suka mendokumentasikan progres tugas saya.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya tidak suka hal-hal yang berubah secara mendadak.,Melancholic,Hindari hal-hal yang berubah secara mendadak. secara konsisten.
Saya lebih suka mengerjakan satu hal dalam satu waktu.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya suka menjaga hubungan baik dengan semua orang dalam tim.,Phlegmatic,Wujudkan tempat kerja yang nyaman dan mendukung secara emosional.
Saya lebih memilih kompromi daripada konflik.,Phlegmatic,Bangun suasana kerja yang tenang tanpa tekanan. Lakukan kompromi dan kerja sama.
Saya merasa nyaman saat semua orang bisa bekerja sama.,Phlegmatic,Buat lingkungan kerja yang damai dan berikan dukungan personal.
Saya terbiasa mendengarkan sebelum memberikan pendapat.,Phlegmatic,Buat lingkungan kerja yang damai dan berikan dukungan personal.
Saya merasa damai dalam situasi yang tenang dan stabil.,Phlegmatic,Ciptakan ruang kerja tanpa tekanan dan tunjukkan perhatian pribadi.
Saya lebih suka menyelaraskan ide daripada mendominasi.,Phlegmatic,Jaga stabilitas suasana kerja dan berikan bantuan personal.
Saya terbiasa menghindari debat terbuka.,Phlegmatic,Ciptakan suasana kerja yang tenang tanpa tekanan. secara konsisten.
Saya lebih nyaman jika suasana kerja santai dan tidak terburu-buru.,Phlegmatic,Jaga stabilitas suasana kerja dan berikan bantuan personal.
Saya merasa puas jika orang lain merasa dihargai.,Phlegmatic,Jaga stabilitas suasana kerja dan berikan bantuan personal.
Saya tidak suka dipaksa melakukan hal di luar ritme saya.,Phlegmatic,Pastikan hindari dipaksa melakukan hal di luar ritme saya.
Saya lebih suka mengikuti arahan yang jelas dan konsisten.,Phlegmatic,Fasilitasi lingkungan yang stabil dengan pendekatan pribadi.
Saya merasa cukup jika semua berjalan sebagaimana mestinya.,Phlegmatic,Wujudkan tempat kerja yang nyaman dan mendukung secara emosional.
Saya terbiasa membantu orang lain secara diam-diam.,Phlegmatic,Wujudkan tempat kerja yang nyaman dan mendukung secara emosional.
Saya lebih suka harmoni daripada keunggulan.,Phlegmatic,Wujudkan tempat kerja yang nyaman dan mendukung secara emosional.
Saya tidak suka suasana kompetisi yang tegang.,Phlegmatic,Pastikan hindari suasana kompetisi yang tegang.
Saya merasa lega saat konflik bisa diselesaikan dengan baik.,Phlegmatic,Bangun suasana kerja yang tenang tanpa tekanan.
Saya suka membangun keakraban melalui cerita-cerita lucu.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya merasa paling nyaman ketika bisa berbicara dengan bebas.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya mudah menyesuaikan diri dalam situasi baru yang seru.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya sering menjadi yang pertama menyapa dalam kelompok.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi. secara konsisten.
Saya suka berbagi ide spontan dalam rapat.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi. secara konsisten.
Saya merasa senang bisa membuat suasana lebih ceria.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi. secara konsisten.
Saya sering mencairkan ketegangan dengan humor.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya lebih suka berdiskusi ringan daripada formal.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya mudah tergoda untuk menyela pembicaraan karena antusias.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya menyukai aktivitas yang tidak terlalu kaku.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya merasa terhibur saat bisa bercerita panjang lebar.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya lebih suka suasana kerja yang terbuka dan menyenangkan.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya merasa terlibat saat diskusi bersifat santai.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya tidak suka terlalu banyak batasan dalam ekspresi diri.,Sanguine,Hindari terlalu banyak batasan dalam ekspresi diri. secara konsisten.
Saya terbiasa menghidupkan suasana pertemuan.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi. secara konsisten.
Saya mudah terhubung secara emosional dengan orang lain.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi. secara konsisten.
Saya suka menyampaikan ide dengan ekspresi wajah dan gerak tubuh.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya merasa bebas saat bisa berbicara apa adanya.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya menyukai perhatian yang tulus dari orang lain.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya suka menyapa orang secara spontan.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya senang saat bisa menyelesaikan masalah secara cepat dan tepat.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya lebih suka tantangan daripada rutinitas yang monoton.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya suka memulai sesuatu dengan jelas dan tegas.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas. secara konsisten.
Saya merasa terganggu jika orang lain kurang efisien.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya senang memberi instruksi yang langsung dan padat.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya lebih suka menghadapi tantangan daripada menghindarinya.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas. secara konsisten.
Saya merasa puas ketika semua orang mengikuti arahan saya.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya suka membuat perencanaan strategis.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas.
Saya merasa berhasil saat tim saya mencapai target.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya lebih suka sistem yang tegas dan langsung.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas. secara konsisten.
Saya sering bertindak sebagai pengambil keputusan utama.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas. secara konsisten.
Saya lebih suka tindakan nyata daripada teori panjang.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya merasa produktif saat terlibat langsung dalam masalah.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya lebih percaya pada tindakan daripada janji.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya cenderung tidak suka jika hasil kerja ditunda.,Choleric,Hindari hasil kerja ditunda.
Saya merasa nyaman dalam tekanan jika saya tahu arah tujuannya.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas.
Saya suka menyusun rencana A dan B sekaligus.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas.
Saya tidak suka hal-hal yang membuang waktu.,Choleric,Hindari hal-hal yang membuang waktu.
Saya merasa tidak nyaman jika sistem kerja tidak jelas.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya suka membuat daftar dan jadwal harian untuk mengatur waktu.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya cenderung memikirkan banyak hal sebelum membuat keputusan.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak.
Saya lebih suka pekerjaan yang membutuhkan konsentrasi tinggi.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya merasa nyaman saat bekerja dalam kesendirian.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak.
Saya suka suasana kerja yang teratur dan minim gangguan.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya tidak suka bekerja dalam kebisingan.,Melancholic,Hindari bepekerjaan dalam kebisingan.
Saya merasa puas jika hasil kerja sesuai ekspektasi saya.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak.
Saya cenderung sensitif terhadap suara atau gangguan kecil.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya lebih suka mendalami satu tugas secara serius.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak.
Saya merasa terganggu jika jadwal berubah tiba-tiba.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya lebih memilih perencanaan rinci daripada improvisasi.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak.
Saya merasa lebih baik jika memiliki checklist pekerjaan.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya suka melakukan evaluasi setelah menyelesaikan tugas.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya cenderung menganalisis sesuatu lebih dalam daripada kebanyakan orang.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak.
Saya tidak suka hasil kerja yang asal jadi.,Melancholic,Pastikan hindari hasil kerja yang asal jadi.
Saya lebih suka berdiskusi dalam kelompok kecil.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya suka mendokumentasikan langkah kerja saya.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak.
Saya merasa lebih nyaman saat tahu apa yang akan terjadi.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya cenderung tidak menyukai risiko yang tidak terukur.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya lebih suka harmoni dalam hubungan sosial daripada menang debat.,Phlegmatic,Ciptakan suasana pekerjaan yang tenang tanpa tekanan.
Saya senang saat semua anggota tim bisa saling mendukung.,Phlegmatic,Wujudkan tempat kerja yang nyaman dan mendukung secara emosional.
Saya lebih suka menyimak daripada mendominasi pembicaraan.,Phlegmatic,Buat lingkungan kerja yang damai dan berikan dukungan personal.
Saya merasa nyaman saat keputusan diambil bersama-sama.,Phlegmatic,Wujudkan tempat kerja yang nyaman dan mendukung secara emosional.
Saya tidak suka suasana kompetitif yang berlebihan.,Phlegmatic,Pastikan hindari suasana kompetitif yang berlebihan.
Saya lebih memilih pendekatan lembut dalam menyampaikan pendapat.,Phlegmatic,Fasilitasi lingkungan yang stabil dengan pendekatan pribadi.
Saya cenderung tidak suka dipaksa bersikap tegas.,Phlegmatic,Pastikan hindari dipaksa bersikap tegas.
Saya suka suasana kerja yang penuh pengertian.,Phlegmatic,Buat lingkungan kerja yang damai dan berikan dukungan personal.
Saya lebih suka memahami daripada diikuti.,Phlegmatic,Buat lingkungan kerja yang damai dan berikan dukungan personal.
Saya suka menghindari konflik sekecil apapun.,Phlegmatic,Pastikan ciptakan suasana kerja yang tenang tanpa tekanan.
Saya merasa cukup jika semua orang merasa nyaman.,Phlegmatic,Fasilitasi lingkungan yang stabil dengan pendekatan pribadi.
Saya suka menjadi jembatan antara pihak yang berbeda pendapat.,Phlegmatic,Ciptakan ruang kerja tanpa tekanan dan tunjukkan perhatian pribadi.
Saya lebih suka menjaga keharmonisan daripada memaksakan ide.,Phlegmatic,Ciptakan ruang kerja tanpa tekanan dan tunjukkan perhatian pribadi.
Saya nyaman berada dalam posisi yang tidak menonjol.,Phlegmatic,Buat lingkungan kerja yang damai dan berikan dukungan personal.
Saya lebih memilih kerja sama daripada bersaing.,Phlegmatic,Fasilitasi lingkungan yang stabil dengan pendekatan pribadi.
Saya cenderung tenang dan tidak tergesa-gesa dalam bertindak.,Phlegmatic,Jaga stabilitas suasana kerja dan berikan bantuan personal.
Saya merasa lebih damai saat tidak ada tekanan dari luar.,Phlegmatic,Ciptakan ruang kerja tanpa tekanan dan tunjukkan perhatian pribadi.
Saya suka menjadi bagian dari kegiatan sosial yang seru.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya sering menjadi orang pertama yang membuka obrolan.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya lebih nyaman jika suasana di sekitar saya ramai dan santai.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi. secara konsisten.
Saya mudah antusias dalam berbagai topik pembicaraan.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya suka menghidupkan suasana saat orang lain pasif.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya lebih suka ngobrol di tempat umum daripada menyendiri.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi. secara konsisten.
Saya cenderung mengekspresikan diri secara verbal.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya merasa semangat meningkat jika berada di keramaian.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya suka menyapa teman meski sudah lama tidak bertemu.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi. secara konsisten.
Saya lebih suka bekerja dalam tim yang ramai.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi. secara konsisten.
Saya senang memperkenalkan orang-orang baru.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya suka jadi penggagas ide dalam kelompok.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi. secara konsisten.
Saya lebih suka humor ringan daripada obrolan serius.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi. secara konsisten.
Saya merasa perlu berbagi perasaan dengan orang lain.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya lebih suka suasana kerja yang fleksibel dan interaktif.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya tidak tahan diam terlalu lama.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi. secara konsisten.
Saya suka membumbui cerita agar lebih menarik.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya senang menyampaikan ide secara spontan.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya merasa nyaman jika bisa membuat orang lain tertawa.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya lebih suka kegiatan luar ruang daripada di balik meja.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya merasa terpacu ketika diberi tantangan besar.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya suka membuat rencana jangka panjang untuk mencapai target.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas. secara konsisten.
Saya merasa yakin pada keputusan yang saya buat.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas.
Saya lebih suka bertindak daripada menunggu.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya cenderung fokus pada efektivitas dan hasil.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas. secara konsisten.
Saya merasa frustrasi jika proses kerja tidak berjalan lancar.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya senang menjadi pemimpin dalam proyek bersama.,Choleric,Berikan kesempatan untuk memimpin dan mengambil tanggung jawab. secara konsisten.
Saya merasa tidak nyaman jika tidak diberi kebebasan untuk mengambil inisiatif.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya terbiasa membuat deadline pribadi untuk pekerjaan saya.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas.
Saya suka melihat hasil kerja yang bisa diukur.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya cenderung memisahkan urusan pribadi dan profesional.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya suka menantang diri untuk bekerja lebih cepat dan lebih baik.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya merasa puas saat bisa mengatasi hambatan yang rumit.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas. secara konsisten.
Saya terbiasa mengarahkan tim agar lebih disiplin.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya merasa kurang cocok dengan sistem kerja yang terlalu santai.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas. secara konsisten.
Saya suka jika peran saya jelas dan berpengaruh.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas.
Saya lebih suka berbicara langsung daripada lewat pesan tertulis.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas. secara konsisten.
Saya merasa nyaman saat bisa membuat keputusan penting.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas. secara konsisten.
Saya suka jika tugas saya memiliki hasil yang konkret.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya merasa lebih fokus saat bekerja sendiri dalam keheningan.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya tidak nyaman jika harus bekerja dalam lingkungan yang tidak tertata.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak.
Saya lebih suka merencanakan segala sesuatu daripada improvisasi.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya terbiasa menuliskan catatan sebelum presentasi.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak.
Saya merasa terganggu jika urusan tidak berjalan sesuai prosedur.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya lebih senang berpikir dalam diam daripada berdiskusi langsung.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya tidak suka hal-hal yang berubah tanpa peringatan.,Melancholic,Pastikan hindari hal-hal yang berubah tanpa peringatan.
Saya merasa perlu memeriksa ulang pekerjaan saya.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya cenderung memperhatikan etika dan detail dalam perilaku.,Melancholic,Berikan informasi yang terstruktur dan detail.
Saya lebih nyaman menghindari sorotan.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya cenderung berpikir mendalam tentang keputusan saya.,Melancholic,Sediakan data dan analisis lengkap.
Saya merasa kurang cocok dengan pekerjaan yang penuh interaksi sosial.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya suka menyelesaikan satu hal sampai tuntas sebelum beralih ke lainnya.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak.
Saya sering melakukan review pribadi setelah menyelesaikan proyek.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak.
Saya lebih suka menyampaikan pendapat dengan tulisan.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya merasa terbebani jika harus membuat keputusan tergesa-gesa.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak.
Saya cenderung mencemaskan kemungkinan kegagalan.,Melancholic,Berikan informasi lengkap dan hindari perubahan mendadak. secara konsisten.
Saya suka memiliki waktu sendiri setiap hari.,Melancholic,Pastikan berikan informasi lengkap dan hindari perubahan mendadak.
Saya cenderung tidak menonjol tapi tetap bisa diandalkan.,Phlegmatic,Ciptakan ruang kerja tanpa tekanan dan tunjukkan perhatian pribadi.
Saya lebih suka memberi jalan daripada memaksa kehendak.,Phlegmatic,Ciptakan ruang kerja tanpa tekanan dan tunjukkan perhatian pribadi.
Saya merasa tidak perlu selalu berada di depan.,Phlegmatic,Fasilitasi lingkungan yang stabil dengan pendekatan pribadi.
Saya senang menjadi penyeimbang dalam kelompok.,Phlegmatic,Wujudkan tempat kerja yang nyaman dan mendukung secara emosional.
Saya cenderung mengikuti alur daripada menciptakan konfrontasi.,Phlegmatic,Wujudkan tempat kerja yang nyaman dan mendukung secara emosional.
Saya tidak suka membuat keputusan sepihak.,Phlegmatic,Hindari membuat keputusan sepihak.
Saya merasa damai saat semua orang bekerja sama.,Phlegmatic,Jaga stabilitas suasana kerja dan berikan bantuan personal.
Saya lebih nyaman mendukung ide yang sudah matang.,Phlegmatic,Buat lingkungan kerja yang damai dan berikan dukungan personal.
Saya lebih suka menenangkan suasana daripada memperkeruhnya.,Phlegmatic,Jaga stabilitas suasana kerja dan berikan bantuan personal.
Saya tidak suka mendominasi rapat atau diskusi.,Phlegmatic,Pastikan hindari mendominasi rapat atau diskusi.
Saya lebih suka mendengar seluruh pendapat sebelum bicara.,Phlegmatic,Jaga stabilitas suasana kerja dan berikan bantuan personal.
Saya merasa tidak perlu mengoreksi orang secara langsung.,Phlegmatic,Ciptakan ruang kerja tanpa tekanan dan tunjukkan perhatian pribadi.
Saya suka membantu secara diam-diam di balik layar.,Phlegmatic,Ciptakan ruang kerja tanpa tekanan dan tunjukkan perhatian pribadi.
Saya tidak suka tekanan berlebih dalam kerja tim.,Phlegmatic,Hindari tekanan berlebih dalam kerja tim. secara konsisten.
Saya merasa cukup jika bisa membantu tim berhasil.,Phlegmatic,Jaga stabilitas suasana kerja dan berikan bantuan personal.
Saya tidak suka membuat keputusan tergesa tanpa pertimbangan semua pihak.,Phlegmatic,Hindari membuat keputusan tergesa tanpa pertimbangan semua pihak. secara konsisten.
Saya lebih nyaman jika diberi waktu berpikir sebelum bertindak.,Phlegmatic,Jaga stabilitas suasana kerja dan berikan bantuan personal.
Saya merasa lebih tenang saat tidak diburu-buru.,Phlegmatic,Jaga stabilitas suasana kerja dan berikan bantuan personal.
Saya suka memulai percakapan dengan orang asing karena penasaran.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya merasa nyaman jadi pusat perhatian di acara sosial.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya sering dianggap supel dan mudah diajak ngobrol.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya merasa hari saya lengkap kalau bisa ketawa bareng teman.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi. secara konsisten.
Saya suka suasana santai yang penuh tawa dan cerita.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya mudah merasa bosan kalau tidak ada aktivitas sosial.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya suka meramaikan suasana rapat yang terlalu formal.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya mudah akrab hanya lewat obrolan singkat.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya cenderung mencari topik seru untuk dibicarakan.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya senang diminta menjadi pembawa acara atau moderator.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya merasa semangat saat berada di tengah orang-orang ramai.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya cenderung lebih fokus saat suasana menyenangkan.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya suka jadi penghubung antar anggota tim.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya jarang merasa malu untuk memulai obrolan.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi. secara konsisten.
Saya lebih suka berbicara langsung daripada melalui teks panjang.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya mudah antusias terhadap ide-ide baru.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya suka kegiatan yang dinamis dan tidak monoton.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi. secara konsisten.
Saya merasa hidup saya berwarna karena interaksi sosial.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya suka menghibur orang lain dengan cerita pribadi.,Sanguine,Ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya lebih suka kolaborasi daripada kompetisi.,Sanguine,Pastikan ajak dia berinteraksi sosial dan berikan ruang berekspresi.
Saya suka ketika tantangan membuat saya berpikir cepat.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas.
Saya merasa berenergi ketika diberi tanggung jawab.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya lebih suka pemikiran logis daripada emosional.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya tidak suka rapat yang terlalu panjang tanpa keputusan.,Choleric,Hindari rapat yang terlalu panjang tanpa keputusan. secara konsisten.
Saya merasa nyaman saat bekerja di bawah tekanan.,Choleric,Pastikan berikan tantangan dan peran kepemimpinan yang jelas.
Saya suka menjadi pemimpin karena bisa mengarahkan tim.,Choleric,Berikan kesempatan untuk memimpin dan mengambil tanggung jawab.
Saya lebih suka berbicara langsung daripada berputar-putar.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas. secara konsisten.
Saya terbiasa membuat perencanaan harian dengan prioritas jelas.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas. secara konsisten.
Saya merasa hasil lebih penting daripada proses yang panjang.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas. secara konsisten.
Saya suka mengejar target dengan cara efisien.,Choleric,Berikan tantangan dan peran kepemimpinan yang jelas.
